"Date","City","State","Place","Corps","Class","Score","Year","Event_Name"
"08/08","Indianapolis","IN","1","Bluecoats","World Class","99.100","2026","DCI World Championship Finals"
"08/08","Indianapolis","IN","2","Blue Devils","World Class","97.500","2026","DCI World Championship Finals"
"08/08","Indianapolis","IN","3","Carolina Crown","World Class","97.038","2026","DCI World Championship Finals"
"08/08","Indianapolis","IN","4","Boston Crusaders","World Class","95.675","2026","DCI World Championship Finals"
"08/08","Indianapolis","IN","5","Vanguard","World Class","95.025","2026","DCI World Championship Finals"
"08/08","Indianapolis","IN","6","Blue Stars","World Class","94.137","2026","DCI World Championship Finals"
"08/08","Indianapolis","IN","7","Phantom Regiment","World Class","92.600","2026","DCI World Championship Finals"
"08/08","Indianapolis","IN","8","Cavaliers","World Class","92.175","2026","DCI World Championship Finals"
"08/08","Indianapolis","IN","9","Colts","World Class","90.125","2026","DCI World Championship Finals"
"08/08","Indianapolis","IN","10","Spirit of Atlanta","World Class","88.588","2026","DCI World Championship Finals"
"08/08","Indianapolis","IN","11","Troopers","World Class","86.950","2026","DCI World Championship Finals"
"08/08","Indianapolis","IN","12","Blue Knights","World Class","86.175","2026","DCI World Championship Finals"
"08/08","Indianapolis","IN","1","Reading Buccaneers","All-Age","96.200","2026","DCI All-Age World Championship Finals"
"08/08","Indianapolis","IN","2","Hawthorne Caballeros","All-Age","95.650","2026","DCI All-Age World Championship Finals"
"08/08","Indianapolis","IN","3","Atlanta CV","All-Age","92.650","2026","DCI All-Age World Championship Finals"
"08/08","Indianapolis","IN","4","Bushwackers","All-Age","92.625","2026","DCI All-Age World Championship Finals"
"08/08","Indianapolis","IN","5","Cincinnati Tradition","All-Age","92.200","2026","DCI All-Age World Championship Finals"
"08/08","Indianapolis","IN","6","Connecticut Hurricanes","All-Age","88.425","2026","DCI All-Age World Championship Finals"
"08/08","Indianapolis","IN","7","White Sabers","All-Age","86.700","2026","DCI All-Age World Championship Finals"
"08/08","Indianapolis","IN","8","Fusion Core","All-Age","85.125","2026","DCI All-Age World Championship Finals"
"08/08","Indianapolis","IN","9","Rogues Hollow Regiment","All-Age","85.025","2026","DCI All-Age World Championship Finals"
"08/08","Indianapolis","IN","10","Govenaires","All-Age","82.175","2026","DCI All-Age World Championship Finals"
"08/08","Indianapolis","IN","11","Northern Lights Drum & Bugle Corps","All-Age","80.550","2026","DCI All-Age World Championship Finals"
"08/08","Indianapolis","IN","12","Minnesota Brass","All-Age","79.625","2026","DCI All-Age World Championship Finals"
"08/07","Indianapolis","IN","1","Bluecoats","World Class","98.563","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","2","Blue Devils","World Class","96.975","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","3","Carolina Crown","World Class","96.800","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","4","Boston Crusaders","World Class","95.588","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","5","Vanguard","World Class","95.050","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","6","Blue Stars","World Class","93.338","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","7","Phantom Regiment","World Class","93.012","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","8","Cavaliers","World Class","91.850","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","9","Colts","World Class","90.350","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","10","Spirit of Atlanta","World Class","88.763","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","11","Troopers","World Class","87.950","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","12","Blue Knights","World Class","86.750","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","13","Pacific Crest","World Class","86.663","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","14","Madison Scouts","World Class","86.250","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","15","Crossmen","World Class","83.425","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","16","Music City","World Class","83.400","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","17","Academy","World Class","82.525","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","18","Blue Devils B","Open Class","81.375","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","19","Spartans","World Class","80.788","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","20","Battalion","Open Class","79.225","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","21","Seattle Cascades","World Class","78.563","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","22","Gold","Open Class","77.975","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","23","Genesis","World Class","76.675","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","24","Memphis Blues","Open Class","75.425","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","25","River City Rhythm","Open Class","73.900","2026","DCI World Championship Semifinals"
"08/07","Indianapolis","IN","1","Reading Buccaneers","All-Age","94.700","2026","DCI All-Age World Championship Prelims"
"08/07","Indianapolis","IN","2","Hawthorne Caballeros","All-Age","94.050","2026","DCI All-Age World Championship Prelims"
"08/07","Indianapolis","IN","3","Atlanta CV","All-Age","91.400","2026","DCI All-Age World Championship Prelims"
"08/07","Indianapolis","IN","4","Bushwackers","All-Age","90.975","2026","DCI All-Age World Championship Prelims"
"08/07","Indianapolis","IN","5","Cincinnati Tradition","All-Age","89.900","2026","DCI All-Age World Championship Prelims"
"08/07","Indianapolis","IN","6","Connecticut Hurricanes","All-Age","86.263","2026","DCI All-Age World Championship Prelims"
